model_name,run_name,best_val_loss,status,latest_step,latest_epoch,dataset_folder,dataset_size_label,dataset_size,d_model,n_layer,n_head,batch_size,lr,weight_decay,metadata_path
model_base,run_2026_03_12_180003,6.808671746935163,running,1980,33,hn_250k,250k,250000,512,8,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_base\run_2026_03_12_180003\run_metadata.json
model_base,run_2026_03_12_180359,6.002806734155725,running,2187,9,hn_1M,1M,1000000,512,8,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_base\run_2026_03_12_180359\run_metadata.json
model_base,run_2026_03_12_180718,5.9703957857909025,running,1952,4,hn_2M,2M,2000000,512,8,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_base\run_2026_03_12_180718\run_metadata.json
model_base,run_2026_03_12_181009,5.949164911147651,running,1962,2,hn_4M,4M,4000000,512,8,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_base\run_2026_03_12_181009\run_metadata.json
model_base,run_2026_03_14_153247,6.373908409705529,running,1952,16,hn_500K,500k,500000,512,8,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_base\run_2026_03_14_153247\run_metadata.json
model_large,run_2026_03_12_181255,6.775323663439069,running,1980,33,hn_250k,250k,250000,512,12,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_large\run_2026_03_12_181255\run_metadata.json
model_large,run_2026_03_12_181814,6.007699418950964,running,2187,9,hn_1M,1M,1000000,512,12,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_large\run_2026_03_12_181814\run_metadata.json
model_large,run_2026_03_12_182242,6.016662677129109,running,1952,4,hn_2M,2M,2000000,512,12,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_large\run_2026_03_12_182242\run_metadata.json
model_large,run_2026_03_12_182631,5.998709906131849,running,1962,2,hn_4M,4M,4000000,512,12,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_large\run_2026_03_12_182631\run_metadata.json
model_large,run_2026_03_14_153607,6.333728203406701,running,1952,16,hn_500K,500k,500000,512,12,8,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_large\run_2026_03_14_153607\run_metadata.json
model_small,run_2026_03_12_175215,6.8044266019548685,running,1980,33,hn_250k,250k,250000,384,6,6,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_small\run_2026_03_12_175215\run_metadata.json
model_small,run_2026_03_12_175440,6.082642078399658,running,2187,9,hn_1M,1M,1000000,384,6,6,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_small\run_2026_03_12_175440\run_metadata.json
model_small,run_2026_03_12_175638,6.057470427619086,running,1952,4,hn_2M,2M,2000000,384,6,6,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_small\run_2026_03_12_175638\run_metadata.json
model_small,run_2026_03_12_175821,6.040405754649311,running,1962,2,hn_4M,4M,4000000,384,6,6,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_small\run_2026_03_12_175821\run_metadata.json
model_small,run_2026_03_14_153046,6.394980247204121,running,1952,16,hn_500K,500k,500000,384,6,6,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_small\run_2026_03_14_153046\run_metadata.json
model_xlarge,run_2026_03_12_183010,6.786355495452881,running,1980,33,hn_250k,250k,250000,640,16,10,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_xlarge\run_2026_03_12_183010\run_metadata.json
model_xlarge,run_2026_03_12_184035,5.974811659918891,running,2187,9,hn_1M,1M,1000000,640,16,10,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_xlarge\run_2026_03_12_184035\run_metadata.json
model_xlarge,run_2026_03_12_184846,5.953094040905988,running,1952,4,hn_2M,2M,2000000,640,16,10,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_xlarge\run_2026_03_12_184846\run_metadata.json
model_xlarge,run_2026_03_12_185536,6.003754965755918,running,1962,2,hn_4M,4M,4000000,640,16,10,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_xlarge\run_2026_03_12_185536\run_metadata.json
model_xlarge,run_2026_03_14_154040,6.368063119741587,running,1952,16,hn_500K,500k,500000,640,16,10,64,0.0003,0.05,C:\Users\teeds\Documents\GitHub\Attention_Triton\artifacts\runs\train\scaling_law_download\model_xlarge\run_2026_03_14_154040\run_metadata.json
